0 -nan -nan -nan -nan
0.0483 8.2861 6.95822 -0.795741 -9.08184
0.0484 8.26327 6.94086 -0.790401 -9.05368
0.0485 8.24055 6.92357 -0.785088 -9.02564
0.0486 8.21793 6.90636 -0.779801 -8.99773
0.0487 8.1954 6.88922 -0.774542 -8.96994
0.0488 8.17297 6.87215 -0.769308 -8.94228
0.0489 8.15064 6.85515 -0.764101 -8.91474
0.049 8.12841 6.83822 -0.75892 -8.88733
0.0491 8.10627 6.82136 -0.753765 -8.86003
0.0492 8.08422 6.80456 -0.748636 -8.83286
0.0493 8.06227 6.78784 -0.743532 -8.8058
0.0494 8.04041 6.77119 -0.738453 -8.77886
0.0495 8.01865 6.7546 -0.7334 -8.75205
0.0496 7.99698 6.73808 -0.728372 -8.72535
0.0497 7.9754 6.72163 -0.723369 -8.69876
0.0498 7.95391 6.70524 -0.71839 -8.6723
0.0499 7.93251 6.68892 -0.713436 -8.64595
0.05 7.9112 6.67267 -0.708507 -8.61971
0.0501 7.88998 6.65648 -0.703601 -8.59359
0.0502 7.86886 6.64036 -0.69872 -8.56758
0.0503 7.84782 6.6243 -0.693863 -8.54168
0.0504 7.82687 6.60831 -0.68903 -8.5159
0.0505 7.806 6.59238 -0.68422 -8.49022
0.0506 7.78523 6.57651 -0.679434 -8.46466
0.0507 7.76454 6.56071 -0.674671 -8.43921
0.0508 7.74393 6.54497 -0.669931 -8.41386
0.0509 7.72341 6.52929 -0.665215 -8.38863
0.051 7.70298 6.51368 -0.660521 -8.3635
0.0511 7.68263 6.49812 -0.65585 -8.33848
0.0512 7.66237 6.48263 -0.651202 -8.31357
0.0513 7.64218 6.4672 -0.646576 -8.28876
0.0514 7.62209 6.45183 -0.641973 -8.26406
0.0515 7.60207 6.43652 -0.637392 -8.23946
0.0516 7.58214 6.42127 -0.632833 -8.21497
0.0517 7.56228 6.40608 -0.628296 -8.19058
0.0518 7.54251 6.39095 -0.62378 -8.16629
0.0519 7.52282 6.37587 -0.619287 -8.14211
0.052 7.50321 6.36086 -0.614814 -8.11803
0.0521 7.48368 6.3459 -0.610364 -8.09404
0.0522 7.46423 6.33101 -0.605934 -8.07016
0.0523 7.44486 6.31617 -0.601526 -8.04638
0.0524 7.42556 6.30138 -0.597139 -8.0227
0.0525 7.40634 6.28666 -0.592773 -7.99912
0.0526 7.3872 6.27199 -0.588427 -7.97563
0.0527 7.36814 6.25737 -0.584102 -7.95224
